test_id,category,language,conversation_stage,conversation_history,customer_utterance,retrieved_context,expected_intent,expected_facts,expected_action,acceptable_answer_criteria,difficulty
L001,PROJECT_FAQ,en,answer_faq,[],"What amenities does SOBHA Townpark have?","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Brand: Sobha Limited. Amenities: clubhouses, swimming pools, sports courts, landscaped gardens, kids play areas, forest grove and camping grounds.",AMENITIES_QUERY,"[""clubhouses"", ""swimming pools""]",ANSWER,Must mention at least clubhouse or swimming pool from context. Must not invent amenities that are not listed.,easy
L002,PRICE_QUERY,en,answer_faq,[],"What is the starting price for a 3 BHK?","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Starting price: INR 1.8 Crore onwards. Configurations: 1 BHK, 2 BHK, 3 BHK and 4 BHK apartments. Payment: Flexible payment plans and home loan assistance are available.",PRICE_QUERY,"[""3 BHK"", ""INR 1.8 Crore""]",ANSWER,Must state starting price of INR 1.8 Crore onwards. Must not invent a different 3 BHK-only price if context only has a project starting price.,easy
L003,LOCATION_QUERY,en,answer_faq,[],"Where is the project located?","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. City: Bengaluru. Location: Near Electronic City on Hosur Road, Bengaluru. Theme: New York-themed luxury apartments.",LOCATION_QUERY,"[""Electronic City"", ""Hosur Road"", ""Bengaluru""]",ANSWER,Must place the project near Electronic City / Hosur Road in Bengaluru. Must not invent a different city or landmark.,easy
L004,CONFIG_QUERY,en,answer_faq,[],"Do you have 2 BHK and 4 BHK units?","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Configurations: 1 BHK, 2 BHK, 3 BHK and 4 BHK apartments. Starting price: INR 1.8 Crore onwards.",CONFIG_QUERY,"[""2 BHK"", ""4 BHK""]",ANSWER,Must confirm that 2 BHK and 4 BHK are available. Must not invent carpet area or floor-plan sizes that are not in context.,medium
L005,QUALIFICATION,en,qualify,[],"I am looking for a 3 BHK. My budget is around two crore.","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Starting price: INR 1.8 Crore onwards. Configurations: 1 BHK, 2 BHK, 3 BHK and 4 BHK apartments. Stage: qualify.",QUALIFICATION,"[""3 BHK"", ""INR 1.8 Crore""]",QUALIFY,Should acknowledge 3 BHK and that starting price is about INR 1.8 Crore onwards. May ask a short follow-up. Must not reject the budget as too low using invented numbers.,medium
L006,SITE_VISIT,en,answer_faq,[],"I would like to book a site visit this weekend.","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Location: Near Electronic City on Hosur Road, Bengaluru. Bookable slots: 10:00 AM, 11:30 AM, 4:00 PM, 6:00 PM.",SITE_VISIT,"[""site visit""]",BOOK_VISIT,Must treat this as a site-visit request and move toward booking. Must not refuse a visit for a reason absent from context.,easy
L007,CONFIRMATION,en,propose_slot,"[{""role"": ""assistant"", ""content"": ""Would you like to schedule a site visit to SOBHA Townpark? Please say yes or no.""}]","Yes, tomorrow morning works.","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Bookable slots: 10:00 AM, 11:30 AM, 4:00 PM, 6:00 PM. Customer previously asked if they want to schedule a visit.",CONFIRMATION,"[""yes"", ""10:00 AM""]",CONFIRM_SLOT,Must treat 'yes' as confirmation of a visit and align with a morning slot such as 10:00 AM or 11:30 AM. Must not ignore conversation history or restart the FAQ pitch.,medium
L008,UNKNOWN,en,answer_faq,[],"What is the exact monthly maintenance and the possession date for Tower A?","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Starting price: INR 1.8 Crore onwards. Amenities: clubhouses, swimming pools, sports courts. Possession: Please check with our sales team for the latest possession timeline. Tower-wise maintenance is not provided.",UNKNOWN,[],DECLINE_UNKNOWN,Must NOT invent a maintenance amount or a Tower A possession date. Correct behaviour is to say the detail is not available and offer a sales follow-up.,hard
L009,AMBIGUOUS_FOLLOWUP,en,answer_faq,"[{""role"": ""user"", ""content"": ""Tell me about the 3 BHK.""}, {""role"": ""assistant"", ""content"": ""The project offers 1 BHK, 2 BHK, 3 BHK and 4 BHK apartments with premium finishes.""}]","What is the starting price for that one?","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Starting price: INR 1.8 Crore onwards. Configurations: 1 BHK, 2 BHK, 3 BHK and 4 BHK apartments. Prior turn discussed 3 BHK.",PRICE_QUERY,"[""3 BHK"", ""INR 1.8 Crore""]",ANSWER,Must resolve 'that one' as 3 BHK using conversation history and state INR 1.8 Crore onwards. Must not ask which project or invent a 3 BHK-only price not in context.,hard
L010,MULTILINGUAL,mixed,answer_faq,[],"Townpark ka starting price kya hai for 2 BHK?","SOURCE: production PROJECT_KB (not live PDF chunks). Project: SOBHA Townpark. Starting price: INR 1.8 Crore onwards. Configurations: 1 BHK, 2 BHK, 3 BHK and 4 BHK apartments.",PRICE_QUERY,"[""2 BHK"", ""INR 1.8 Crore""]",ANSWER,Must understand Hindi-English code-mix as a price question for 2 BHK. Must state INR 1.8 Crore onwards. Must not refuse because the utterance is mixed-language.,medium
